dyad,year,border,caprat,ally,dispute,jio,deml,depl,risk,_st,_d,_t,_t0,pyears
2020,1951,1,20.01,1,0,,10,.0144,1,1,0,1,0,0
2020,1952,1,18.66,1,0,45,10,.0152,2,1,0,2,1,1
2020,1953,1,18.709999,1,0,46,10,.0156,3,1,0,3,2,2
2020,1954,1,18.049999,1,0,47,10,.0154,4,1,0,4,3,3
2020,1955,1,17.389999,1,0,48,10,.0146,5,1,0,5,4,4
2020,1956,1,16.58,1,0,49,10,.0154,6,1,0,6,5,5
2020,1957,1,16.950001,1,0,48.599998,10,.017000001,7,1,0,7,6,6
2020,1958,1,16.639999,1,0,48.200001,10,.015799999,8,1,0,8,7,7
2020,1959,1,15.9,1,0,47.799999,10,.0146,9,1,0,9,8,8
2020,1960,1,15.83,1,0,47.400002,10,.015,10,1,0,10,9,9
2020,1961,1,15.49,1,0,47,10,.014,11,1,0,11,10,10
2020,1962,1,15.58,1,0,48.200001,10,.0136,12,1,0,12,11,11
2020,1963,1,15.17,1,0,49.400002,10,.0138,13,1,0,13,12,12
2020,1964,1,14.65,1,0,50.599998,10,.0138,14,1,0,14,13,13
2020,1965,1,13.15,1,0,51.799999,10,.0146,15,1,0,15,14,14
2020,1966,1,15.57,1,0,53,10,.0156,16,1,0,16,15,15
2020,1967,1,15.58,1,0,54.200001,10,.0174,17,1,0,17,16,16
2020,1968,1,15.41,1,0,55.400002,10,.017999999,18,1,0,18,17,17
2020,1969,1,15.81,1,0,56.599998,10,.0198,19,1,0,19,18,18
2020,1970,1,13.97,1,0,57.799999,10,.021,20,1,0,20,19,19
2020,1971,1,14.5,1,0,59,10,.0206,21,1,0,21,20,20
2020,1972,1,13.95,1,0,59.42857,10,.021600001,22,1,0,22,21,21
2020,1973,1,13.59,1,0,59.857143,10,.0232,23,1,0,23,22,22
2020,1974,1,12.94,1,1,60.285713,10,.025,24,1,1,24,23,23
2020,1975,1,12.09,1,1,60.714287,10,.0296,25,1,1,25,24,0
2020,1976,1,12.03,1,0,61.142857,10,.027799999,26,1,0,26,25,0
2020,1977,1,11.85,1,0,61.57143,10,.028999999,27,1,0,27,26,1
2020,1978,1,11.74,1,0,62,10,.0284,28,1,0,28,27,2
2020,1979,1,11.43,1,1,62,10,.028000001,29,1,1,29,28,3
2020,1980,1,10.98,1,0,62,10,.0288,30,1,0,30,29,0
